yoruba	english
Tó bá jẹ́ òótọ́, pánẹ́ẹ̀lì náà á gba gbogbo ìfẹ̀sí ojú kọ̀ǹpútà náà (ìgasí tí o bá jẹ́ pánẹ́ẹ̀lì olóòró). Nínú móòdù yìí, pánẹ́ẹ̀lì a kàn lè gbé pánẹ́ẹ̀lì sígun ojú kọ̀ǹpútà ni. Tó bá jẹ́ irọ́, pánẹ́ẹ̀lì náà á kàn tóbi láti gba gbogbo àwọn ápúlẹ́ẹ̀tì náà, àwọn aṣàfilọ́lẹ̀ àti àwọn bọ́tìnì lórí pánẹ́ẹ̀lì náà.	If true, the panel will occupy the entire screen width (height if this is a vertical panel). In this mode the panel can only be placed at a screen edge. If false, the panel will only be large enough to accommodate the applets, launchers and buttons on the panel.
Mú Ìdáàdòdò ojú kọ̀ǹpútà ṣiṣẹ́	Activate Screensaver
Ṣàfihàn àkóónú ìwòyí ojú-ìwé lọ́wọ́lọ́wọ́	Display the latest content of the current page
Ṣí fèrèsé awáròyìn tuntun	Open a new browser window
1$s 2$s	1$s 2$s
Fáìlì tó ń jẹ́ orúkọ yìí ti wà nílẹ̀ tẹ́lẹ̀, o kò sì ní ìyànda láti ṣẹ̀dà le lórí.	A file with this name already exists and you don't have permission to overwrite it.
Iṣẹ́	Icon
Ẹkú àbọ sí orí ètò ìdarí kọmpútà GNOME	Welcome to the GNOME Desktop
"Àyọkà tí a fẹ́ ṣàfihàn rẹ̀ nínú ìtalólobó-irinṣẹ́ fún dúrọ́wà yìí tàbí àtòjọ-ẹ̀yàn yìí. Bọ́tìnìyìí kàn wúlò tí bọ́tìnì irúfẹ́nǹkan bájẹ́""nǹkan-dúrọwà"" tàbí ""nǹkan-àtòjọ-ẹ̀yàn""."	"The text to display in a tooltip for this drawer or this menu. This key is only relevant if the objecttype key is ""drawer-object"" or ""menu-object""."
Agbàlejò	Host
Ṣàfihàn àwọn orúkọ ààyè-iṣẹ́	Display workspace names
Àtòjọ àwọn ìṣàmúlò-ètò àìmọ̀	List of known applications
"Irúfẹ́ nǹkan pánẹ́ẹ̀lì yìí. Àwọn fálù tó lè jẹ́ ni ""nǹkan-dúrọ́wà"",""nǹkan-àtòjọ-ẹ̀yàn"",""nǹkan-aṣàfilọ́lẹ̀"",""ápúlẹ́ẹ̀tì bonobo"",""ápúlẹ́ẹ̀tì-iṣẹ́""àti ""àká-àtòjọ-ẹ̀yàn""."	"The type of this panel object. Possible values are ""drawer-object"", ""menu-object"", ""launcher-object"", ""external-applet"", ""action-applet"", ""menu-bar"" and ""separator""."
Gíráfíìsì	Graphics
Àwọn Sáà	Session d
Western (IBM-850)	Western (IBM-850)
Ṣàfikún àmì-ìwé	Add a bookmark
Ìṣàkóso	Administration
Agbéròyìn Jáde Tó Ṣeé Yọ	Removable Media
Alábòójútó Fèrèsé	File Manager
Píríǹtì	Print…
Firefox	Firefox
Àdírẹ̀sì	Address
Ìfojúsí GNOME Lórí lílò àti ìbánirẹ , ìlọ-dédé, àti àtìlẹyìn ìgbóra àjọṣepọ mú kí ó ní ìyàtọ láàrin ojú ìdarí kọmpútà	GNOME's focus on usability and accessibility, regular release cycle, and strong corporate backing make it unique among Free Software desktops.
Táàbù Tuntun	New Tab
Pánẹ́ẹ̀lì Àárín Òsì	Left Centered Panel
Ohun ìdánimọ̀ pánẹ́ẹ̀lì ìpele-òkè tó ní nǹkan yìí nínú.	The identifier of the toplevel panel which contains this object.
Àṣẹ fún ìbẹ̀rẹ̀ kò lè jẹ́ òfìfo	The startup command cannot be empty
Àṣẹ fún ìbẹ̀rẹ̀ kò lè jẹ́ òfìfo	The startup command is not valid
Yan àmì-àṣírí.	Remember passwords
Ṣí líǹkì ìtàn tí a yàn nínú táàbù tuntun	Open the selected history link in a new tab
Bóyá ká píríǹtì àkọ́lẹ́ ojú-ìwé inú àyọkà òkè-ilà náà	Whether to print the page title in the header
Yípo lórí àwọn pánẹ́ẹ̀lì òòró	Rotate on vertical panels
GNOME tún ní àpapọ ète ìdàgbàsókè fún ìdarí kọmpútà	GNOME also includes a complete development platform for applications programmers, allowing the creation of powerful and complex applications.
Àwọn Ẹ̀yàn Sáà	Options
Ti Ojú Kọ̀ǹpútà	Lock Screen
Tún orúkọ àmì-ìwé tàbí àkọlé tí a yàn sọ	Rename the selected bookmark or topic
Yan wúnrẹ̀nkan láti fikún <UNK>:	Find an item to add to <UNK>:
Aṣàpínyà	Separator
Làbárè	News
Dí	l:M p (A)
Ìpínfúnni Ní:	Issued To
Àṣẹ	Comment:
Gbagbára iṣẹ́ ìdarí JavaScript chrome	Disable JavaScript chrome control
Àwọn àgbéwọlé	Background
Chinese Simplified (GBK)	Chinese Simplified (GBK)
Fi àwọn fèrèsé ìṣàmúlò-ètò pamọ́, kí o sì fi ojú-iṣẹ́ hàn	Hide application windows and show the desktop
Àwọn Eelo fún sise agekale ẹ̀yà-àìfojúrí	Tools for software development
Ìgbádùn	Entertainment
Táìlì̀	file
Ṣàgbékalẹ̀ ètò àwọn ààtò fún píríǹtì	Setup the page settings for printing
Ìdẹsẹ̀dúró fún férémù kọ̀ọ̀kan	Pause per frame
Bọ́tìnì yìí ń sọ ní pàtó àṣẹ tí a óò gbìyànjú láti mú ṣiṣẹ́ nígbà tí a bá tẹ̀ lórí ẹja.	This key specifies the command that will be tried to execute when the fish is clicked.
"Wá wẹ́ẹ̀bù náàhttp://www.google.nl"" and ""http://www.google.nl/search?q=<UNK>"	Search the web
Sọ ìtumọ̀ ipo ajemọ́ igun ìsàlẹ̀/ọ̀tún	Interpret position relative to bottom/right edge
Àwọn àgbéwọlé kan ṣì ku díẹ̀. Tí o bá parí iṣẹ́ a ó dènà wọn, a óò sì sọ wọ́n nù.	There are still downloads pending. If you log out, they will be aborted and lost.
Central European (Windows-1250)	Central European (Windows-1250)
Kò rí ìṣàmúlò-ètò tó yẹ	Browse and run installed applications
Àwọn àbùdá	Properties
Àwọn àyọkà ìsàlẹ̀-ilà	Frames
Ti táàbù yìí	Close this tab
Bẹ̀rẹ̀ iṣẹ́ Ní Ọ̀nà kán nà	Log Out Anyway
Òmíràn	Other
Kékeré púpọ̀Size	XX Small
Àwọn ìkúndùǹ	Preferences
Sún sí ààyè-iṣẹ́ kẹta	Switch to workspace 3
Fi àwọn sáà pamọ́	Remove Session
Ìwọ̀n àkópamọ́ fọ́nrán nínú MB.	Size of disk cache, in MB.
Nípa	About Web
kò lè fi àṣẹ lọ́lẹ̀ <UNK>	Could not launch <UNK>
Ìjáde Ipá	Force Quit
Ṣẹ̀dà	Copy
Pa gbogbo àwọn wúnrẹ̀n láti inú àtòjọ àwọn àkọsílẹ̀ àìpẹ́ rẹ́	Clear all items from the recent documents list
50	50
Rọ́ọ̀nù Ìṣàmúlò-ètò...	Choose an icon
Pánẹ́ẹ̀lì Igun Òkè Tí a Fẹ̀	Top Expanded Edge Panel
Tí ó bá jẹ́ òótọ́, a óò gbé àwòrán léwọ̀n àwọn ojúùwọ̀n pánẹ́ẹ̀lì. Réṣíò aspect àwòrán áwà bó ṣe wà.	If true, the image will be scaled to the panel dimensions. The aspect ratio of the image will not be maintained.
Celtic (ISO-8859-14)	Celtic (ISO-8859-14)
Kò rí sípọ̀tì òfìfo	Cannot find an empty spot
Ìpéwọ̀n:	Default:
Ìròyìn	News
Àìmọ̀ (<UNK>)	Unknown (<UNK>)
Ti táàbù	Close tab
Fi pamọ́ Lórúkọ	Save As
Ṣàfikún Àmì-ìwé?bookmarks	Update Bookmark?
Ìwọ̀n pánẹ́ẹ̀lì	Panel size
Ìró & Fídíò	Sound & Video
Tẹ àkọlé	Type a topic
Àwon àgbéwọlé	Downloads
Wá	Find…
Ìdádúró àìfipamọ́-aládàáṣe pánẹ́èlì	Panel autounhide delay
Kò lè ṣàfihàn àkọsílẹ̀ ìrànwọ́	Could not display help document
<UNK> (<UNK>)language	<UNK> (<UNK>)
Irúfẹ́ bọ́tìnì iṣẹ́	Action button type
Kóòdù gbogbogbò (UTF-16 BE)	Unicode (UTF-16 BE)
Rọ́ọ̀nù Ìṣàmúlò-ètò...	Run Application...
̀̀̀̀̀̀̀̀[Orúkọ-fáìlì Àìfẹsẹ̀múlẹ̀]	[Invalid Filename]
Àtòjọ-ẹ̀yàn Pátá	Entire menu
Greek (ISO-8859-7)	Greek (ISO-8859-7)
Kíki “<UNK>”...	Problem loading “<UNK>”
Fátìrì fún ìṣẹ̀dá àwọn ápúlẹ́ẹ̀tì aago.	Factory for Test DBus Applet
Fi Ojú-iṣẹ́ Hàn	Show Desktop
Pánẹ́ẹ̀lì Igun Òsì	Left Edge Panel
Pánẹ́ẹ̀lì Ìléfòó Ìsàlẹ́	Bottom Floating Panel
Fún Java lágbára iṣẹ́	Enable WebAudio
Lo ìyítumọ̀ mìíràn:	Use a different encoding:
Hebrew (MacHebrew)	Hebrew (MacHebrew)
175	175
Yẹ Fátìrì Ápúlẹ́ẹ̀tì Bonobo Wo	Test DBus Applet Factory
Chinese Simplified (HZ)	Chinese Simplified (HZ)
Ìgúnrégé fáilì:	File format:
Ṣàyẹ̀wò Sítàì-ṣiìtì...	Edit Stylesheet…
Ìgbéwọlé	Import
Ṣí líǹkì ìtàn tí a yàn nínú fèrèsé tuntun	Open the selected history link in a new window
Àwọn Irinṣẹ́ Ètò Kọ̀ǹpútà	System Tools
Fi aṣàfilọ́lẹ̀ yìí kún pánẹ́ẹ̀lì	Add this launcher to panel
Parí iṣẹ́:	Expires:
Ṣàfikún Àmì-ìwé?	Update Bookmark?
	
Fèrèsé Tuntun	New Incognito Window
Pánẹ́ẹ̀lì Tuntun	New Panel
Àwọn Àbùdá Aṣàfilọ́lẹ̀	Directory Properties
Àwọn iṣẹ́	Tasks
Central European (MacCE)	Central European (MacCE)
Ṣẹ̀dá àkọ́lé “<UNK>”	Create topic “<UNK>”
Àtojọ àwọn ìpele gíga	List of upper levels
Tó bá jẹ́ òótọ́, fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn.	If true, expand the list of tasks in the calendar window.
ÒsìOrientation	Left
Pánẹ́ẹ̀lì àárín orí ásìsì y	Center panel on y-axis
Pípa àkọlé yìí jẹ, yóò fa kí gbogbo àwọn àmì-ìwé rẹ̀ má sìí ní ọ̀wọ́ mọ́ àyàfi tí wọ́n bá jẹ́ ti àwọn àkọlé mìíràn. A óò pa àwọn àmì-ìwé náà jẹ.	Deleting this topic will cause all its bookmarks to become uncategorized, unless they also belong to other topics. The bookmarks will not be deleted.
Awáròyìn Wẹ́ẹ̀bù	Web Browser
Padà sípò	Undo
Wá Tilẹ̀	Find Previous
Kò lè wá atọ́nà ilé: kò sí àgbékalẹ̀ rẹ̀ ní /etc/passwd kò sí oye fún $HOME ní àyíká	Cannot find home directory: not set in /etc/passwd and no value for $HOME in environment
Lọ sókè ní ìpele kan	Go up one level
Sọ ní pàtó ààyè gconf tí a fẹ́ fi àwọn ìkúndùn ápúlẹ́ẹ̀tì pamọ́ sí	Specify a gconf location in which the applet preferences should be stored
Àwọn Àbùdá Kúkì	Cookie properties
Prefs Dir:	Prefs Dir:
Kò lè bẹ̀rẹ̀ Awáròyìn Wẹ́ẹ̀bù GNOME	Could not start Web
Ṣàyẹ̀wò Àtòjọ-ètò Fún Ìbẹ̀rẹ̀	Edit Startup Program
Prefs Dir:	Pressure unit:
Tunkì	Reload
H:M:SMay 01May 1	H:M:S
Tí o bá tún nǹkan pánẹ́ẹ̀lì kì, yóò ṣàfikún ara rẹ̀ padà sípánẹ́ẹ̀lì náà.	If you reload a panel object, it will automatically be added back to the panel.
Àwọn IbiOrientation	Places
Iwájú	Forward
Àká-ipò	Statusbar
Kò lè fi àíkànnù lọ́lẹ̀	Could not launch application
Àwọn ìpéwọ̀n	Defaults
Romanian (MacRomanian)	Romanian (MacRomanian)
Fẹ̀	Expand
Dí	Set...
Ṣẹ̀dá àkọlé tuntun	Create a new topic
Pánẹ́ẹ̀lì Igun Òsì Tí A Fẹ̀	Left Expanded Edge Panel
Bẹ̀rẹ̀ àpẹẹrẹ aládàáni	Start a private instance
Táìlì̀	Time:
Western (ISO-8859-15)	Western (ISO-8859-15)
Ipa àkóónú àtòjọ-ẹ̀yàn	Menu content path
Tẹ ibí láti lè fi gbogbo àwọn fèrèsé pamọ́, kí o sì fi ojú-iṣẹ́ hàn.	Click here to hide all windows and show the desktop.
Tó bá jẹ́ òótọ́, fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn.	If true, show week numbers in the calendar.
Abánirẹ GNOME	Friends of GNOME
ko sì orúkọ páálí ìwé láti fi nkan ránṣẹ sí	No filename to save to
Pa sáà	Kill session
Ṣàgbéwọlé líǹkì	Download Link
"Parí Iṣẹ́1"" (msgctxt: ""panel:showusername"") to ""1"	Log Out <UNK>...
Wá Tílẹ̀	Find Previous
Ìgasí (ìfẹ̀sí fún pánẹ́ẹ̀lì òòró) pánẹ́ẹ̀lì náà. Pánẹ́ẹ̀lì náà ló máa sọ ní àkókò láti rọ́ọ̀nù ìwọ̀n tó kéré jù, tó sì dálé ìwọ̀n ìrísí-lẹ́tà àti àwọn atọ́ka mìíràn. A ti fi ìwọ̀n tó ga jù sí ìdá-mẹ́rin ìgasí ojú kọ̀ǹpútà (tàbí ìfẹ̀sí).	The height (width for a vertical panel) of the panel. The panel will determine at runtime a minimum size based on the font size and other indicators. The maximum size is fixed at one quarter of the screen height (or width).
Àṣẹ láti mu ṣiṣẹ́ lórí ìtẹ̀	Command to execute on click
Tẹ bọ́tìnì yìí láti wáròyìn fún fáìlì tí a óò ṣàfikún orúkọ rẹ̀ sí fọ́nránàṣẹ.	Click this button to browse for a file whose name to append to the command string.
Àràmàdà GEGL	The Mysterious GEGL
Ìyárasí àfarawé Kọ̀ǹpútà	Animation speed
Àtòjọ àwọn ID pánẹ́ẹ̀lì. ID kọ̀ọ̀kan ló n tọ́ka sí pánẹ́ẹ̀lì ìpele-òkè kọ̀ọ̀kan. A fi àwọnà̀àtò̀ fún àwọn pánẹ́ẹ̀lì kọ̀ọ̀kan pamọ́ sínú /apps/panel/toplevels/$(id).	A list of panel IDs. Each ID identifies an individual toplevel panel. The settings for each of these panels are stored in /apps/panel/toplevels/$(id).
àwọn kọ́lọ̀mù	columns
Ṣí àmì-ìwé tí a yàn nínú táàbù tuntun	Only the selected frame
URL	URL …
Fáìlì àtòjọ-ẹ̀yàn	Menu file
Ṣí ojú-iṣẹ́ náà gẹ́gẹ́ bíi fódà	Open the contents of your desktop in a folder
Dúró díẹ̀	Pause
Da padà sí ààyè-iṣẹ́lọ́wọ́lọ́wọ́	Restore to current workspace
Tẹ àdírẹ̀sì wẹ́èbù wọlé láti ṣi tàbí àpólà láti wá	Enter a web address to open, or a phrase to search for
Gbà Padà	Recover
Tó bá jẹ́ òótọ́, pánẹ́ẹ̀lì náà kò ní fàyè gba òǹlò láti mú ìṣàmúlò-ètò jáde pẹ̀lú ipánípa yíyọ ààyè sí bọ́tìnì ìjáde ipá kúrò.	If true, the panel will not allow a user to force an application to quit by removing access to the force quit button.
Dàrú	Broken
Àìfìdímúlẹ̀	Insecure
Fi Pánẹ́ẹ̀lì Pamọ́	Panel
Ṣẹ̀dá àkọlé tuntun	Applications
Fáìlì “<UNK>” wà. Jọ̀wọ́ gbé kúrò lọ́nà.	The file “<UNK>” has been added to the downloads queue.
Bẹ̀rẹ̀ iṣẹ́ Ní Ọ̀nà kán nà	Reboot
Sákánì àkókò àwọn ojú-ìwé ìtàn	History pages time range
Romanian (ISO-8859-16)	Romanian (ISO-8859-16)
Àkójọpọ̀-ẹ̀rì Ara-ẹni	Clear All Personal Data
"Ṣàgbéwọléfriendly time"" string for the current day, strftime format. like ""Today 12:34 am"	Download
wákàtí mẹ́rìnlélógún	24-hour
"Mú ìkádìí-aládàáṣe nínú onísọ̀rọ̀gbèsì ""Rọ́ọ̀nù Ìṣàmúlò-ètò"" ṣiṣẹ́"	"Enable autocompletion in ""Run Application"" dialog"
Kóòdù gbogbogbò (UTF-16 LE)	Unicode (UTF-16 LE)
Lo àkókò UNIX	Use UNIX time
Ti Fèrèsé	Close window
Tó bá jẹ́ òótọ́, fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn.	If true, expand the list of weather information in the calendar window.
Fi líǹkì pamọ́ pẹ̀lú orúkọ mìíràn	Save link with a different name
Fidéètì hàn	Show the date
Ọ̀pọ̀lọpọ̀ àtòjọ-ètò mìíràn ló ń ti ń lo bọ́tìnì <UNK> tẹ́lẹ̀ pẹ́lú àwọn aṣàtúntò x gẹ́gẹ́ bíi aṣẹ̀dá-ìtọ́ka	Some other program is already using the key <UNK> with modifiers x as a binding
<UNK> Ẹja, awo ọgbọgba	<UNK> the Fish, a contemporary oracle
"Ìyárasí tó yẹ kí àwọn ìṣàfarawé kọ̀ǹpútà ó ti yọ. Àwọn fálù tó lè jẹ́ ni ""falẹ̀"", ""àárín"" àti ""ìyára"". Bọ́tìnì yìí kàn wúlò tí bọ́tìnì àwọn mú ìṣàfarawé kọ̀ǹpútàṣiṣẹ́ bá jẹ́ òótọ́."	"The speed in which panel animations should occur. Possible values are ""slow"", ""medium"" and ""fast"". This key is only relevant if the enableanimations key is true."
Ìgbà tó yẹ ká pín àwọn fèrèsé	When to group windows
Nígbà tí a bá ti pa dórọ́wà jẹ, àti dúrọ́wà àti àwọn ààtò rẹ̀ máa sọnù.	When a drawer is deleted, the drawer and its settings are lost.
Irúfẹ́ Fáìlì: “<UNK>”. O kò ní ìṣàmúlò-ètò láti ṣí “<UNK>”. O lè ṣàgbéwọlé rẹ̀ dípò.	File Type: “<UNK>”. You have no application able to open “<UNK>”. You can download it instead.
"Ààyè fáìlì ojú-iṣẹ́ tó ń ṣàpèjúwe aṣàfilọ́lẹ̀. Bọ́tìnì yìí kàn wúlò tí bọ́tìnì irúfẹ́nǹkan bá jẹ́ ""nǹkan-aṣàfilọ́lẹ̀""."	"The location of the .desktop file describing the launcher. This key is only relevant if the objecttype key is ""launcher-object""."
Àti bẹ́ẹ̀ bẹ́ẹ̀ lọ...	And many, many others...
a d b Yfriendly timeFeb 12 1997	b d I:M p
Àìrí ojútu fún: <UNK>	Unknown encoding of: <UNK>
Fi Àwòrán Pamọ́ Gẹ́gẹ́ bíiFrench (France)language	Save Image As
Kò lè bẹ̀rẹ̀ Awáròyìn Wẹ́ẹ̀bù GNOME	Could not start GNOME Web Browser
Gẹ́ẹ̀sì(US-ASCII)	English (US-ASCII)
Eré-ìdárayá	Sports
Ṣẹ̀dá àkọ́lé “<UNK>”	Executes the script “<UNK>”
ẹyajợ àkójọ	Build Date
Aṣojú	Distributor
Ìyítumọ Àyọkà	Text Encoding
Aago náà ń ṣàfihàn àkókò àti déètì lọ́wọ́lọ́wọ́	The Clock displays the current time and date
Ṣí àwòrán “<UNK>”	Open image “<UNK>”
Hebrew (IBM-862)	Hebrew (IBM-862)
Epiphany (RDF)	Epiphany
Fi àwọn fèrèsé láti gbogbo àwọn ààyè-iṣẹ́ hàn	Show windows from all workspaces
Ṣàgbéwọlé Líǹkì<UNK> of <UNK>	Download finished
Pa pánẹ́ẹ̀lì yìí jẹ?	Cannot delete this panel
Àwọn èdè tí a fẹ́ jù, àwọn kóòdù lẹ́tà méjì.	Preferred languages, two letter codes.
Pa àkọlé yìí jẹ?	Delete this topic?
Iṣẹ́	Work
Àwon àgbéwọlé	Downloads Bar
Ìwọ̀n àtòjọ fèrèsé tó ga jù	Maximum window list size
Fi àwòrán sí pánẹ́ẹ̀lì	City Time Zone
Kíki...	Starting…
Àyọkà Ńlá	Larger Text
Àwọn ìsàmúlò-ètò tí kò bá àwọn ọ̀wọ́ mìíràn mu	Applications that did not fit in other categories
Fihàn lórí Àká-irinṣẹ́	Show on Toolbar
Awọn àkọlé:	Topics:
Ṣẹ̀dá àkọlé tuntun	Create Web Application
Tó ṣẹ́kù	Remaining
Fi Líǹkì Pamọ́ Gẹ́gẹ́ Bíi	Save Link As…
Ga	High
Àfikún à̀wọn ìlàálẹ̀ òfin tí kò léwu	Additional safe protocols
<UNK> Ẹja náà Sọ pé:	<UNK> the Fish Says:
I:M p	I:M p
Na àwòrán sí pánẹ́ẹ̀lì	Stretch image to panel
Fihàn lórí Àká-irinṣẹ́	Show in folder
Vietnamese (Windows-1258)	Vietnamese (Windows-1258)
Ìṣàlàyé:	Orientation:
Àwọn ìtẹ̀-ìka ọwọ́	Fingerprints
Bọ́́tìnì yìí ń sọ ní pàtó iye àwọn róòlù (fún ìlàálẹ̀ ìbú) tàbí àwọṅ kọ́lọ̀mù (fún ìlàálẹ̀òòró) tí ìjánu-ìsún ààyè-iṣẹ́ ń fihàn àwọn ààyè-iṣẹ́ náà. Bọ́tìnì yìí kàn sì wúlòtí bọ́tìnì àwọn ààyè-iṣẹ́gbogboìṣàfihàn bá jẹ́ òótọ́.	This key specifies how many rows (for horizontal layout) or columns (for vertical layout) the workspace switcher shows the workspaces in. This key is only relevant if the displayallworkspaces key is true.
Yọkúrò Nínú Pánẹ́ẹ̀lì	Remove From Panel
125	125
Yí àwọn ààtò ìfẹ̀sí-ètò kọ̀ǹpútà padà (ó kan gbogbo òǹlò)	Change system-wide settings (affects all users)
Gbé àwọn àmì-ìwé wọlé láti:	Import bookmarks from:
Aṣàyàn Fèrèsé ń fi àtòjọ gbogbo àwọn fèrèsé inú àtòjọ-ẹ̀yàn hàn, yóò sì jẹ́ kí́o wá wọn.	The Window Selector shows a list of all windows in a menu and lets you browse them.
"Ààyè fáìlì àwòrán tí a lò gẹ́gẹ́ bíi áíkànnù fún bọ́tìnì nǹkan náà. bọ́tìnì yìí kàn wúlò tí bọ́tìnì irúfẹ́nǹkan bá jẹ́ ""nǹkan-dúrọ́wà"" tàbí ""nǹkan àtòjọ-ẹ̀yàn"" tí bọ́tìnì áíkànnùàkànṣeìlò jẹ́ òótọ́."	"The location of the image file used as the icon for the object's button. This key is only relevant if the objecttype key is ""drawer-object"" or ""menu-object"" and the usecustomicon key is true."
Nàá	Stretch
Ṣí fèrèsé tuntuntoolbar style	Open a new window
Àjọ:	Organizational Unit:
Pa Àwọn Àkọsílẹ̀ Àìpẹ̀ Rẹ́	Clear Recent Documents...
Fẹ̀ẹ́	Zoom In
Kóòdù gbogbogbò (UTF-32 LE)	Unicode (UTF-32 LE)
Ojú kọ̀ǹpútà d tí a ̀ṣàfihàn <UNK> kò fẹsẹ̀múlẹ̀	Screen d on display <UNK> is invalid
Bẹ̀rẹ̀ iṣẹ́ Ní Ọ̀nà kán nà	Restart Anyway
Fi àwọn orúkọ ààyè-iṣẹ́ hàn nínú ìjánu-ìsún	Show workspace names in switcher
Firebird	Firebird
Àyè...	Copy Location
Mú Àwọ̀ kan	Pick a color
Àwọn ìkúndùǹ Aago	Clock Preferences
Fi déètì hàn nínú aago	Show weather in clock
Àwọn Orúkọ Àwọn Ààyè-iṣẹ́	Workspaces
Àwọn àká-irinṣẹ́ tó ṣe rẹ́gí	Customize toolbars
Central European (ISO-8859-2)	Central European (ISO-8859-2)
Fidéètì hàn	Show temperature
A pín Awáròyìn Wẹ́ẹ̀bù GNOME pẹ̀lú ìrètí pé yóò wúlò ṣùgbọ́n a pin LÁÌ SÍ WÁRÁǸTÌ, kódà wáráǹ̀tì ITAJA tàbí ÌWÚLÒ FÚN ÌLÒ PÀTÀKÌ KAN. Wo Àṣẹ Gbogbogbò GNU fún àlàyé lẹ́kùnrẹ́rẹ́.	The GNOME Web Browser is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details.
Ipa pàtàkì GNOME Jẹ ìgbóra àgbèègbè wa. Ódàbì pé ẹnikẹni tí ó ní ìmọ ojútùú tàbí tí kò ní, lè sapa àti mú GNOME dára si.	GNOME's greatest strength is our strong community. Virtually anyone, with or without coding skills, can contribute to making GNOME better.
Ìpéwọ̀ntoolbar style	Default
Pánẹ́ẹ̀lì Àárín Tí Ọ̀tún	Right Centered Panel
KékeréSize	Small
Ṣí àmì-ìwé yìí nínú fèrèsé tuntun	Open this bookmark in a new window
Àṣìṣe kíka fálù boolean GConf <UNK>: <UNK>Orientation	Error reading GConf boolean value <UNK>: <UNK>
Ṣẹ̀dà àdírẹ̀sì àwòrán “<UNK>”	Copy image address “<UNK>”
Korean (JOHAB)	Korean (JOHAB)
Sàmì ìwé sí líǹkì ìtàn tí a yàn	Bookmark the selected history link
Àwòrán tí a fẹ́ láti lò fún ojú kọ̀ǹpútà píláàṣì	Preferred Image to use for login splash screen
Orísun Ojú-ìwé	Page Source
Pajẹ	Delete
Kò lè darapọ̀ mọ́ alábòójútó sáà	Could not connect to the session manager
GNOME pẹlúu ọpọ àwọn ohun tí ó yọ lójú kọmpútà, tí ò pẹlú páálí ìwéolùdarí, ìbojúwo ìwunpọ, ètò, àti ọpọlọpọ ìdarí kọmpútà.	GNOME includes most of what you see on your computer, including the file manager, web browser, menus, and many applications.
Wádìí:	Search:
Ààyè pánẹ́ẹ̀lì lórí ásìsì y. Bọ́tìnì yìí kàn wúlò nínú móòdù tí a kò fẹ̀. Nínú móòdù tí a fẹ̀, ṣe ni a pa bọ́tìnì yìí tì ni, a sì gbesí igun ojú kọ̀ǹpútà tí bọ́tìnì ìṣàlàyé sọ ní pàtó.	The location of the panel along the y-axis, starting from the bottom of the screen. If set to -1, the value is ignored and the value of the y key is used. If the value is greater than 0, then the value of the y key is ignored. This key is only relevant in un-expanded mode. In expanded mode this key is ignored and the panel is placed at the screen edge specified by the orientation key.
400	400
Gbé fèrèsé lọ sí ààyè-iṣẹ́ kẹta	Move window to workspace 3
Bèrè ì́parí iṣẹ́	Allow logout
Central European (IBM-852)	Central European (IBM-852)
Ṣàfikún Àmì-ìwé...	Add Bookmark
Wá ìṣẹ̀lẹ̀ ìwádìí fọ́nrán tókàn	Find next occurrence of the search string
Wá ọ̀rọ̀ tàbí àpólà ní ojú-ìwé náà	Find a word or phrase in the page
Konqueror	Konqueror
Aṣìse títi fáìlì sáà <UNK>: <UNK>	Error closing session file <UNK>: <UNK>
Àwọn Àlàyé Ẹ̀yìn Àwòrán	Image Background Details
Olótùú Àtòjọ-ẹ̀yàn	Simple Menu Editor <UNK>
Ìtẹ̀-ìka ọwọ́ SHA1:	SHA1 Fingerprint:
Ètò tí a ti bẹ̀rẹ̀ àwọn ì̀ṣàmúlò-ètò nínú sáà náà.	List of applications that are part of the default session.
I:M:S p	I:M:S p
Lẹ agbàròyìn dúró	Paste clipboard
Yí ìyítumọ̀ àyọkà náà padà	Change the text encoding
Fáìlì “<UNK>” wà. Jọ̀wọ́ gbé kúrò lọ́nà.	The file “<UNK>” exists. Please move it out of the way.
Tí o bá pa àtòjọ Àwọn Àkọsílẹ̀ Àìpẹ́ rẹ́, wà á pa àwọn wọ̀nyí rẹ́: • Gbogbo àwọn wúnrẹ̀n láti inú Àwọn Ibìkan → wúnrẹ̀n àtòjọ-ẹ̀yàn Àwọn Àkọsílẹ̀ Àìpẹ́. • Gbogbo àwọn wúnrẹ̀n láti inú àtòjọ àwọn àkọsílẹ̀ nínú gbogbo àwọn ìṣàmúlò-ètò.	If you clear the Recent Documents list, you clear the following: • All items from the Places → Recent Documents menu item. • All items from the recent documents list in all applications.
