yoruba	english
Gbàgede-wẹ́ẹ̀bù Awáròyìn Wẹ́ẹ̀bù GNOME	Web Website
http://www.google.com/search?ie=UTF-8oe=UTF-8q=	http://www.google.com
Nípa	About Web
Yọọ́kúrò nínú Àká-irinṣẹ́	Remove from overview
Kíki “<UNK>”...	Problem loading “<UNK>”
Túnkì	Reload Anyway
Fi líǹkì pamọ́ “<UNK>”	Problem displaying “<UNK>”
"Àwọn ẹ̀yàn Awáròyìn Wẹ́ẹ̀bù GNOMEfriendly time"" string for the current day, strftime format. like ""Today 12:34 am"	Web profile migrator options
Àwọn Àmì-ìwé Wẹ́ẹ̀bù	Web bookmarks
Àkójọpọ̀-ẹ̀rì Ara-ẹni	Clear Personal Data
Àwọn Fáìlì Ìgbà Díẹ̀	Cache and temporary files
́Pa ìtàn ìwáròyìn rẹ́?	Browsing history
Àwọn gbàgede	Site
Ìtàn ẹ̀yìn	Search history
Àyè...	Location
Àyè...	Copy Location
Ṣàfikún Àmì-ìwé...	Add Bookmark
Fi àmì-àṣírí hàn	Search passwords
Àwọn Àmì-àṣírí	Password
Àmì-àṣírí:	Copy Password
Orúkọ Òǹlò	Copy Username
Wádìí:	Search
Ṣàbójútó Àwọn Ìwé-ẹ̀rí	Manage Cookies
Àwọn Àmì-àṣírí	Manage Passwords
Ṣàgbéwọlé	Down
Ṣí Àwòrán	View Image
http://www.google.com/search?q=<UNK>ie=UTF-8oe=UTF-8	https://google.com/search?q=<UNK>
http://www.google.com/search?q=<UNK>ie=UTF-8oe=UTF-8	http://www.bing.com/search?q=<UNK>
Ìpínfúnni Ní:	Issued To
Ìpínfúnni Ní:	Issued By
Ìtẹ̀-ìka ọwọ́ MD5:	Fingerprints
Àdírẹ̀sì ojú-ìwéfile type	Page address
Gbogbo wọnbookmarks	All
Ṣàfikún Àmì-ìwé?bookmarks	Update Bookmark?
Tí A Bẹ̀wò Jùbookmarks	Most Visited
Ṣí fèrèsé tuntuntoolbar style	Open a new window
Fi ojú-ìwé lọ́wọ́lọ́wọ́ pamọ́	Save the current page as a Web Application
Èdèfile type	Language
"friendly time"" string for the current day, strftime format. like ""Today 12:34 am"	Failed to copy cookies file from Mozilla.
Awáròyìn Wẹ́ẹ̀bù	Web browser for GNOME
Nípa GNOME	About GNOME
Nípa GNOME	Learn more about GNOME
Làbárè	News
Abánirẹ GNOME	Friends of GNOME
Ìbẹwò	Contact
Àràmàdà GEGL	The Mysterious GEGL
Rọbà Gnome tíó-dárapúpọ	The Squeaky Rubber GNOME
Wanda ẹja GNOME	Wanda The GNOME Fish
Nípa ojú ìdarí kọmpútà GNOME	About the GNOME Desktop
Ẹkú àbọ sí orí ètò ìdarí kọmpútà GNOME	Welcome to the GNOME Desktop
Nípasẹ	Brought to you by:
Ìfihàn	Version
Aṣojú	Distributor
ẹyajợ àkójọ	Build Date
GNOME Jẹ oun tí ò gbààyè, tì o ṣé lò, tí o fẹsẹ múlẹ, abánirẹ àyíká ìlànà kọmpútà fún ojúlùmọ Unix ti ìdarí kọmpútà	GNOME is a Free, usable, stable, accessible desktop environment for the Unix-like family of operating systems.
GNOME pẹlúu ọpọ àwọn ohun tí ó yọ lójú kọmpútà, tí ò pẹlú páálí ìwéolùdarí, ìbojúwo ìwunpọ, ètò, àti ọpọlọpọ ìdarí kọmpútà.	GNOME includes most of what you see on your computer, including the file manager, web browser, menus, and many applications.
GNOME tún ní àpapọ ète ìdàgbàsókè fún ìdarí kọmpútà	GNOME also includes a complete development platform for applications programmers, allowing the creation of powerful and complex applications.
Ìfojúsí GNOME Lórí lílò àti ìbánirẹ , ìlọ-dédé, àti àtìlẹyìn ìgbóra àjọṣepọ mú kí ó ní ìyàtọ láàrin ojú ìdarí kọmpútà	GNOME's focus on usability and accessibility, regular release cycle, and strong corporate backing make it unique among Free Software desktops.
Ipa pàtàkì GNOME Jẹ ìgbóra àgbèègbè wa. Ódàbì pé ẹnikẹni tí ó ní ìmọ ojútùú tàbí tí kò ní, lè sapa àti mú GNOME dára si.	GNOME's greatest strength is our strong community. Virtually anyone, with or without coding skills, can contribute to making GNOME better.
Àṣìṣe kíkà ìwé <UNK>: <UNK>	Error reading file <UNK>: <UNK>
Àṣìṣe ìyípadà ìwé <UNK>: <UNK>	Error rewinding file <UNK>: <UNK>
kò sí orúkọ	No name
páálí ìwé <UNK> kì ṣè nkan déédé tàbí amọnà	File <UNK> is not a regular file or directory.
Àṣìṣe kíkà ìwé <UNK>: <UNK>	Error cannot find file id <UNK>
ko sì orúkọ páálí ìwé láti fi nkan ránṣẹ sí	No filename to save to
Ìbẹrẹ <UNK>	Starting <UNK>
kò sí URL láti pilẹ síwájú	No URL to launch
kìí ṣe irú nkan láti fi bẹrẹ	Not a launchable item
kò sí àṣẹ láti fi bẹrẹ	No command (Exec) to launch
Àṣẹ búburú láti fi bẹrẹ	Bad command (Exec) to launch
Àìrí ojútu fún: <UNK>	Unknown encoding of: <UNK>
"position"", ""size"", and ""maximum"	could not get information about output d
"requested"", ""minimummaximum"	none of the saved display configurations matched the active configuration
"MirrorPantallas en Espejo"", *not* ""Espejar Pantallas"	could not find a suitable configuration of screens
UnknownMonitor vendor	Hundreds of people have contributed code to GNOME since it was started in 1997; many more have contributed in other important ways, including translations, documentation, and quality assurance.
Àṣìṣe ìyípadà ìwé <UNK>: <UNK>namename	Error rewinding file <UNK>: <UNK>
Àṣìṣe kíkà ìwé <UNK>: <UNK>	Cannot find file <UNK>
"requested"", ""minimummaximum"	none of the selected modes were compatible with the possible modes: <UNK>
"MirrorPantallas en Espejo"", *not* ""Espejar Pantallas"	required virtual size does not fit available size: requested=(d, d), minimum=(d, d), maximum=(d, d)
"requested"", ""minimummaximum"	"requested"", ""minimummaximum"
MirroredPantallas en Espejo	required virtual size does not fit available size: requested=(d, d), minimum=(d, d), maximum=(d, d)
"position"", ""size"", and ""maximum"	Unknown Display
Ìró & Fídíò	Sound & Video
Àtòjọ-ẹ̀yàn agbé-ọ̀pọ̀-ìròyìn-jáde	Multimedia menu
Ìṣàtòjọ-ètò	Programming
Àwọn irinṣẹ́ fún ìdàgbàsókè ẹ̀yà-ará kọ̀ǹpútà àìfojúrí	Tools for software development
Ẹ̀kọ́	Education
Àwọn Ayò	Games
Àwọn ayò àti àwọn eré-àṣenọjú	Games and amusements
Gíráfíìsì	Graphics
Àwọn ìṣàmúlò-ètò gíráfíìsì	Graphics applications
Ítánẹ́̀ẹ̀tì	Internet
Àwọn àtòjọ-ètò fún ìráyè ítánẹ́ẹ̀tì bíi wẹ́ẹ̀bù àti lẹ́tà kọ̀ǹpútà	Programs for Internet access such as web and email
Ọ́fíìsì	Office
Àwọn Ìṣàmúlò-ètò Ọ́fíìsì	Office Applications
Àwọn ààtò àti àwọn ìkúndùn aládàáni	Personal settings
Ìṣàkóso	Administration
Yí àwọn ààtò ìfẹ̀sí-ètò kọ̀ǹpútà padà (ó kan gbogbo òǹlò)	Change system-wide settings (affects all users)
Àwọn ìkúndùn	Preferences
Àwọn ìkúndùn aládàáni	Personal preferences
Àwọn Irinṣẹ́ Ètò Kọ̀ǹpútà	System
Àwọn Irinṣẹ́ Ètò Kọ̀ǹpútà	System Tools
Ìṣàmójútó àti àtòpọ̀ ètò kọ̀ǹpútà	System configuration and monitoring
Àwọn Ààtò Ìráyè	Universal Access Settings
Àwọn Àsẹ́sírì	Accessories
Àwọn àsẹ́sírì ojù-iṣẹ́	Desktop accessories
Àwọn Ìṣàmúlò-ètò	Applications
Àwọn ààtò ìṣàkóso àti àwọn ìkúndùn aládàáni	Personal preferences and administration settings
Òmíràn	Other
Àwọn ìsàmúlò-ètò tí kò bá àwọn ọ̀wọ́ mìíràn mu	Applications that did not fit in other categories
Olótùú Àtòjọ-ẹ̀yàn	Menu Editor
Ṣàyẹ̀wò Àwọn Àtòjọ-ẹ̀yàn	Edit Menus
Àwọn ìpéwọ̀n	Defaults
Àwọn Àtòjọ-ẹ̀yàn:	Menus:
Àwọn Ìṣàmúlò-ètò:	Applications:
Olótùú Àtòjọ-ẹ̀yàn	Simple Menu Editor <UNK>
Fihàn	Show
Kò lè wá atọ́nà ilé: kò sí àgbékalẹ̀ rẹ̀ ní /etc/passwd kò sí oye fún $HOME ní àyíká	Cannot find home directory: not set in /etc/passwd and no value for $HOME in environment
Fáìlì àtòjọ-ẹ̀yàn	Menu file
FÁÌLÌÀTÒJỌ-Ẹ̀YÀN	MENUFILE
Àpótí ìṣàfihàn fún àwọn ìyípadà àtòjọ-ẹ̀yàn	Monitor for menu changes
Fi àwọn àmúwọlé si	Include <Exclude>d entries
Fi àwọn àmúwọlé si	Include NoDisplay=true entries
ID fáìlì ojú-iṣẹ́ àìfẹsẹmúlẹ̀	Invalid desktop file ID
̀̀̀̀̀̀̀̀[Orúkọ-fáìlì Àìfẹsẹ̀múlẹ̀]	[Invalid Filename]
==== Àtúnkì àtòjọ-ẹ̀yàn tó yípadà ====	==== Menu changed, reloading ====
Igi àtòjọ-ẹ̀yàn ṣófo	Menu tree is empty
- yẹ ìpilẹ̀ Ojúùwọ̀n Àtòjọ-ẹ̀yàn Ojú-iṣẹ́ GNOME wò	- test GNOME's implementation of the Desktop Menu Specification
Àwọn Ìṣàmúlò-ètò Ọ́fíìsìPersonal settings	Office Applications
Àwọn Ìṣàmúlò-ètò	Web Applications
Ṣẹ̀dàÀkókò	Copy Time
ṢèdàDéètì	Copy Date
Àtúnṣe Déètì & Àkókò	Adjust Date & Time
Àwọn ìkúndùǹ	Preferences
Fátìrì Ápúlẹ́ètì Aago	Clock Applet Factory
Fátìrì fún ìṣẹ̀dá àwọn ápúlẹ́ẹ̀tì aago.	Factory for creating clock applets.
Aago	Clock
Ri pé o ní àkókò àti déètì lọ́wọ́lọ́wọ́	Get the current time and date
l:M p	l:M p
H:M	H:M
b d	b d
Àwọn iṣẹ́	Tasks
Gbogbo Ọjọ́	All Day
Àwọn Àdéhùn-ìpàdé	Appointments
Ààyè Aṣàfilọ́lẹ̀	Weather Information
Àwọn Ìṣàmúlò-ètò	Locations
Kàlẹ́ńdà	Calendar
l:M:S p	l:M:S p
H:M:SMay 01May 1	H:M:S
a b e	a b e
1$s 2$s	1$s 2$s
1$s, 2$s<UNK>	1$s, 2$s
A, B d Y	A B d (<UNK>)
Tẹ̀ láti wo àwọn àdéhùn-ìpàdé àti àwọn iṣẹ́ rẹ	Click to hide your appointments and tasks
Tẹ̀ láti wo àwọn àdéhùn-ìpàdé àti àwọn iṣẹ́ rẹ	Click to view your appointments and tasks
Tẹ̀ láti wo kàlẹ́ńdà oṣù	Click to hide month calendar
Tẹ̀ láti wo kàlẹ́ńdà oṣù	Click to view month calendar
Aago Kọ̀ǹpútà	Computer Clock
I:M:S p	I:M:S p
I:M p	I:M p
A, B d Y	A, B d Y
Ìgúnrégé àkànṣe	Custom format
Ààyè Aṣàfilọ́lẹ̀	Choose Location
Ààyè Aṣàfilọ́lẹ̀	Edit Location
Fi àwòrán sí pánẹ́ẹ̀lì	City Time Zone
Wákàtí mẹ́rìnlélógún	24 hour
Àkókò UNIX	UNIX time
Àkókò ítánẹ́ẹ̀tì	Internet time
Ìgúnrégéàkànṣe:	Custom format:
Aago náà ń ṣàfihàn àkókò àti déètì lọ́wọ́lọ́wọ́	The Clock displays the current time and date
"ìgbóríyìn òǹgbufọ̀state"" or ""province"" should use that instead of ""region"	translator-credits
Táìlì̀	Timezone:
Áíkànnù:	Location Name:
Táìlì̀	Time:
Kò sí (lo kókó ètò kọ̀ǹpútà)	Set System Time
Àwọn ìkúndùǹ Aago	Clock Preferences
Ìgúnrégé àkànṣe	Clock Format
Ìgúnrégé wákàtí	12 hour format
Ìgúnrégé wákàtí	24 hour format
Àtòjọ ID pánẹ́́ẹ̀lì	Panel Display
Fidéètì hàn	Show the date
Fiàwọn ìṣísẹ̀ hàn	Show seconds
Fidéètì hàn	Show weather
Fidéètì hàn	Show temperature
Àwọn ààyè-iṣẹ́	Display
Prefs Dir:	Pressure unit:
"24-hour12-hour"". If your locale uses 24 hour time notation, translate this to ""24-hour12-hour24-hour"" or ""12-hour24 sata"" or anything else that isn't ""24-hour12-hour"	Time Settings
wákàtí mẹ́rìnlélógún	24-hour
Ìgúnrégé wákàtí	Hour format
"Bọ́tìnì yìí ń sọ ní pàtó ìgúnrégé wákàtí tí ápúlẹ́ẹ̀tì aago náà lò. Àwọn fálù tó lèjẹ́ ni ""wákàtí méjìlá"",""wákàtí mẹ́rinlélógún"", ""ítánẹ́ẹ̀tì"", ""unix"" àti ""àkànṣe"". Tía bá ṣàgbékalẹ̀ rẹ̀ sí ""ítánẹ́ẹ̀tì"", àkókò ítánẹ́ẹ̀tì ni aago máa ṣàfihàn. Ẹgbẹ̀rún niètò aago ítánẹ́ẹ̀tì pín ọjọ́ sí""beats"". Kò sí àwọn ìhà àkókò nínú ètò yìí, fún ìdí èyíbákan náà ni àkókò rí kárí-ayé. Tí a bá ṣàgbékalẹ̀ rẹ̀ sí ""unix"", ní ìṣísẹ̀ ni aago máa ṣàfihàn àkókòláti ìgbà Epoch tó jẹ́ 1970-01-01. Tí a bá ṣàgbékalẹ̀ rẹ̀ sí ""àkànṣe"", aago náà á ṣàfihàn àkókògẹ́gẹ́ bíi ìgúnrégé tí a sọ ní pàtó nínú bọ́tìnì ìgúnrégéàkànṣe."	"This key specifies the hour format used by the clock applet. Possible values are ""12-hour"", ""24-hour"", ""internet"", ""unix"" and ""custom"". If set to ""internet"", the clock will display Internet time. The Internet time system divides the day into 1000 "".beats"". There are no time zones in this system, so time is the same all over the world. If set to ""unix"", the clock will display time in seconds since Epoch, i.e. 1970-01-01. If set to ""custom"", the clock will display time according to the format specified in the customformat key."
Ìgúnrégé àkànṣẹ́ fún aago	Custom format of the clock
"Bọ́tìnì yìí ń sọ ní pàtó ìgúnrégé tí ápúlẹ́ẹ̀tì aago náà lò nígbà tí a gbé bọ́tìnì ìgúnrégé náàkalẹ̀ sí ""àkànṣe"". O lè àwọn asọnípàtó ìpààrọ̀ tí ó yé strftime() láti gba ìgúnrégé ní pàtó."	"This key specifies the format used by the clock applet when the format key is set to ""custom"". You can use conversion specifiers understood by strftime() to obtain a specific format. See the strftime() manual for more information."
Fi àkókò pẹ̀lú àwọn ìṣísẹ̀ hàn	Show time with seconds
Tó bá jẹ́ òótọ́,ṣàfihàn àwọn ìṣísẹ̀ nínú àkókò.	If true, display seconds in time.
Fi déètì hàn nínú aago	Show date in clock
Tó bá jẹ́ òótọ́, ṣàfihàn déètì nínú aago gẹ́gẹ́ bí àfíkun àkókò	If true, display date in the clock, in addition to time.
Fi déèti hàn nínú ìtalólobó-irinṣẹ́	Show date in tooltip
Tó bá jẹ́ òótọ́, fi déètì hàn nínú ìtalólobó-irinṣẹ́ nígbà tí atọ́ka bá wà lórí aago.	If true, show date in a tooltip when the pointer is over the clock.
Fi déètì hàn nínú aago	Show weather in clock
Tó bá jẹ́ òótọ́,ṣàfihàn àwọn ìṣísẹ̀ nínú àkókò.	If true, display a weather icon.
Fi déètì hàn nínú aago	Show temperature in clock
Tó bá jẹ́ òótọ́, fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn.	If true, show the temperature next to the weather icon.
Lo UTC	Use UTC
Tó bá jẹ́ òótọ́, ṣàfihàn àkókò ínú Ìhà Àkókò Àgbáyé	If true, display time in Universal Coordinated Time zone.
Irinṣẹ́ àtòpọ̀ àkókò	Time configuration tool
Ìlò bọ́tìnì yìí nínú GNOME 2.6 ti kúrò láṣà.fún 'ìgúnrégé' bọ́tìnì. A tọ́jú ìtọsẹ̀ náà fún ìbámu pẹ̀lú àwọn ẹ̀yà tó ti pẹ́.	The use of this key was deprecated in GNOME 2.22 with the use of an internal time configuration tool. The schema is retained for compatibility with older versions.
Fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn	Show week numbers in calendar
Tó bá jẹ́ òótọ́, fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn.	If true, show week numbers in the calendar.
Tó bá jẹ́ òótọ́, fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn.	If true, expand the list of appointments in the calendar window.
Tó bá jẹ́ òótọ́, fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn.	If true, expand the list of birthdays in the calendar window.
Tó bá jẹ́ òótọ́, fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn.	If true, expand the list of tasks in the calendar window.
Tó bá jẹ́ òótọ́, fi àwọn nọ́ńbà ọ̀sẹ̀ inú kàlẹ́ńdà hàn.	If true, expand the list of weather information in the calendar window.
Fi àtòjọ àwọn ìṣàmúlò-ètò mímọ̀ hàn	Expand list of locations
Ìlò bọ́tìnì yìí nínú GNOME 2.6 ti kúrò láṣà.fún 'ìgúnrégé' bọ́tìnì. A tọ́jú ìtọsẹ̀ náà fún ìbámu pẹ̀lú àwọn ẹ̀yà tó ti pẹ́.	The use of this key was deprecated in GNOME 2.6 in favour of the 'format' key. The schema is retained for compatibility with older versions.
Lo àkókò UNIX	Use UNIX time
Lo àkókò Ítánẹ́ẹ̀tì	Use Internet time
Àtòjọ àwọn ìṣàmúlò-ètò àìmọ̀	List of locations
Dí	Set...
Dí	Set
Dí	l:M p (A)
Dí	H:M (A)
Dí	l:M p
1$s, 2$s	<UNK>, <UNK>
Kò lè ṣàfihàn àkọsílẹ̀ ìrànwọ́	Could not display help document <UNK>
Kò lè ṣàfihàn àkọsílẹ̀ ìrànwọ́	Error displaying help document
Kò sí (lo kókó ètò kọ̀ǹpútà)	Change system time
Fátìrì Wanda	Wanda Factory
Níbo Ni Ẹja Ọ̀dẹ̀ Yẹn Tiwá	From Whence That Stupid Fish Came
Ẹja	Fish
Ṣàfihàn ẹja tó ń wẹ̀ tàbí ẹ̀dá ẹrankó mìíràn	Display a swimming fish or another animated creature
"Ìkìlọ̀: Ó jọ wí pé àṣẹ náà máa wúlò. Níwọ̀n ìgbà tí ápúlẹ́ẹ̀tì yìí kò wúlò, o lè má fẹ́ ṣe èyí. A gbà ẹ́ nímọ̀ràn gidi kí o má lo <UNK> fún ohunkóhun tí yóò mú ápúlẹ́ẹ̀tì náà ""jẹ́ ṣíṣe"" tàbí wúlò."	"Warning: The command appears to be something actually useful. Since this is a useless applet, you may not want to do this. We strongly advise you against using <UNK> for anything which would make the applet ""practical"" or useful."
Àwọn Àwòrán	Images
<UNK> Ẹja náà	<UNK> the Fish
<UNK> kò ní ìwúlò kankan rárá. Ṣe ni ó kàn gba ààyè inú fọ́nrán àti àkókò ìṣàmúpòtí a bá sì tún kìí ṣe ni yóò kàn gba ààyè pánẹ́ẹ̀lì àti ọpọlọ kọ̀ǹpútà. Tí a bá rí ẹnikẹ́ni tó ń lò óṣe ni ká gbé ẹni náà lọ sí ilé-ìwòsàn àrùn ọpọlọ fúnàyẹ̀wò.	<UNK> has no use what-so-ever. It only takes up disk space and compilation time, and if loaded it also takes up precious panel space and memory. Anybody found using it should be promptly sent for a psychiatric evaluation.
(pẹ̀lú ìrànwọ́ kékeré láti ọ̀dọ́ George)	(with minor help from George)
<UNK> Ẹja, awo ọgbọgba	<UNK> the Fish, a contemporary oracle
Kò lè rí àṣẹ tó fẹ́ mú siṣẹ́	Unable to locate the command to execute
<UNK> Ẹja náà Sọ pé:	<UNK> the Fish Says:
Kò lè ka ìmújáde láti inú àṣẹ Àwọn Àlàyé: <UNK>	Unable to read output from command Details: <UNK>
Sọ̀rọ̀ lẹ́ẹ̀kan si	Speak again
Àṣẹ tí a topọ̀ náà kò ṣiṣẹ́ a sì ti pààrọ rẹ̀ pẹ̀lú: <UNK>	The configured command is not working and has been replaced by: <UNK>
Kò lè mú siṣẹ́ <UNK> Àwọn Àlàyé: <UNK>	Unable to execute <UNK> Details: <UNK>
Kò lè kà látio inú <UNK> Àwọn Àlàyé: <UNK>	Unable to read from <UNK> Details: <UNK>
A ní láti pààrọ̀ omi náà! (Wo déètì òní)	The water needs changing
<UNK> Ẹja náà, aríran	<UNK> the Fish, the fortune teller
Àwọn ìkúndùn Ẹja	Fish Preferences
Orúkọ ẹja:	Name of fish:
Àṣẹ tí a fẹ́ rọ́ọ̀nù tí a bá tẹ:	Command to run when clicked:
Ìyárasí àfarawé Kọ̀ǹpútà	Animation
Fáìlì:	File:
Fún àwọn ìṣàfarawé kọ̀ǹpútà lágbára	Select an animation
Gbogbo àwọn férèmù nínú ìṣàfarawé kọ̀ǹpútà:	Total frames in animation:
Ìdẹsẹ̀dúró fún férémù kọ̀ọ̀kan:	Pause per frame:
àwọn férémù	frames
àwọn ìṣísẹ̀	seconds
Yipo lórí àwọn pánẹ́ẹ̀lì òòró	Rotate on vertical panels
Orúkọ ẹja náà	The fish's name
Òmùgọ̀ ẹja ní kò ní lórúkọ. Sọ eja dí alàyè nípa fífun lórúkọ.	A fish without a name is a pretty dull fish. Bring your fish to life by naming him.
Pixmap ìṣàfarawé kọ̀ǹpútà ẹja	The fish's animation pixmap
Bọ́tìnì yìí sọ ní pàtó orúkọ-fáìlì pixmap tí a óò lò fún ìṣàfarawé kọ̀ǹpútà tí aṣàfihàn nínú ápúlẹ́ẹ̀tì ẹja tó jọ atọ́nà pixmap.	This key specifies the filename of the pixmap which will be used for the animation displayed in the fish applet relative to the pixmap directory.
Àṣẹ láti mu ṣiṣẹ́ lórí ìtẹ̀	Command to execute on click
Bọ́tìnì yìí ń sọ ní pàtó àṣẹ tí a óò gbìyànjú láti mú ṣiṣẹ́ nígbà tí a bá tẹ̀ lórí ẹja.	This key specifies the command that will be tried to execute when the fish is clicked.
Àwọn férémù inú ìṣàfarawé kọ̀ǹpútà ẹja	Frames in fish's animation
Bọ́tìnì yìí ń sọ ní pàtó iye férémù tí a óò ṣàfihàn wọn nínú ìṣàfarawé kọ̀ǹpútàẹja.	This key specifies the number of frames that will be displayed in the fish's animation.
Ìdẹsẹ̀dúró fún férémù kọ̀ọ̀kan	Pause per frame
Bọ́tìnì yìí ń sọ ní pàtó iye àwọn ìṣísẹ̀ tí férémù kọ̀ọ̀kan á ṣàfihàn.	This key specifies the number of seconds each frame will be displayed.
Yípo lórí àwọn pánẹ́ẹ̀lì òòró	Rotate on vertical panels
Tó bá jẹ́ òótọ́, a óò ṣàfihàn ìṣàfarawé kọ̀ǹpútà ẹja tí ó yípo lórí àwọn pánẹ́ẹ̀lì òòró.	If true, the fish's animation will be displayed rotated on vertical panels.
Fátìrì Agbègbè Ìkéde	Notification Area Factory
Agbègbè Ìkéde	Notification Area
Agbègbè tí àwọn àwòrán-áíkànnù ìkéde á farahàn	Area where notification icons appear
Agbègbè Ìkéde Pánẹ́ẹ̀lì	Panel Notification Area
Fátìrì Ápúlẹ́ẹ̀tì Ìtọpa Fèrèsé	Window Navigation Applet Factory
Fátìrì fún àwọn ápúlẹ́ẹ̀tì ajẹmọ́ ìtọpa fèrèsé	Factory for the window navigation related applets
Aṣàyàn Fèrèsé	Window Selector
Sún láàrin àwọn fèrèsé ṣiṣí nípa lílo àtòjọ-ẹ̀yàn	Switch between open windows using a menu
Ìjánu-ìsún Àà̀yè-iṣẹ́	Workspace Switcher
Sún láàrin àwọn ààyè-iṣẹ́	Switch between workspaces
Àtòjọ Fèrèsé	Window List
Sún láàrin àwọn fèrèsé ṣíṣí nípa lílo àwọn bọ́tìnì	Switch between open windows using buttons
Fi Ojú-iṣẹ́ Hàn	Show Desktop
Fi àwọn fèrèsé ìṣàmúlò-ètò pamọ́, kí o sì fi ojú-iṣẹ́ hàn	Hide application windows and show the desktop
Ó kùnà láti ki <UNK>: <UNK>	Failed to load <UNK>: <UNK>
A kò rí áíkànnù	Icon not found
Tẹ ibí láti dá àwọn fèrèsé tó farasin padà sípò.	Click here to restore hidden windows.
Tẹ ibí láti lè fi gbogbo àwọn fèrèsé pamọ́, kí o sì fi ojú-iṣẹ́ hàn.	Click here to hide all windows and show the desktop.
Fi Bọ́tìnì Ojú-iṣẹ́ Hàn	Show Desktop Button
Bọ́tìnì yìí á jẹ́ kí o fi gbogbo àwọn fèrèsé pamọ́, kí o sì fi ojú-iṣẹ́ hàn.	This button lets you hide all windows and show the desktop.
Alábòójútó fèrèsé rẹ kò ṣàtìlẹ́yìn bọ́tìnì ojú-iṣẹ́ ìfihàn tàbí o kò rọ́ọ̀nùalábòójútó fèrèsé ni.	Your window manager does not support the show desktop button, or you are not running a window manager.
Àtòjọ Fèrèsé náà ń fi àtòjọ gbogbo àwọn fèrèsé inú ìjọ àwọn bọ́tìnì hàn, ó sì ńjẹ́ kí o wáròyìn wọn.	The Window List shows a list of all windows in a set of buttons and lets you browse them.
Àwọn ìkúndùǹ Àtòjọ Fèrèsé	Window List Preferences
Àkóónú Àtòjọ Fèrèsé	Window List Content
Fi àwọn fèrèsé láti inú ààyè-iṣẹ́ lọ́wọ́lọ́wọ́ hàn	Show windows from current workspace
Fi àwọn fèrèsé láti inú gbogbo àwọn àyè-iṣẹ́ hàn	Show windows from all workspaces
Ìpín Fèrèsé	Window Grouping
Má pín àwọn fèrèsé rárá	Never group windows
Pín àwọn fèrèsé nígbàtí ààyè bá kéré	Group windows when space is limited
Pín àwọn fèrèsé nígbà gbogbo	Always group windows
Dídá Àwọn Fèrèsé Tó Pajúdé Padà Sípò	Restoring Minimized Windows
Da padà sí ààyè-iṣẹ́lọ́wọ́lọ́wọ́	Restore to current workspace
Da padà sí àyè-iṣẹ́ ìbílẹ̀	Restore to native workspace
Fi àwọn fèrèsé láti gbogbo àwọn ààyè-iṣẹ́ hàn	Show windows from all workspaces
Tó bá jẹ́ òótọ́, àtòjọ fèrèsé á fi àwọn fèrèsé láti inú gbogbo àwọn ààyè-iṣẹ́ hàn. Láì jẹ́ bẹ́ẹ̀,yóò kàn ṣàfihàn àwọn fèrèsé láti inú ààyè-iṣẹ́ lọ́wọ́lọ́wọ́ ni.	If true, the window list will show windows from all workspaces. Otherwise it will only display windows from the current workspace.
Ìgbà tó yẹ ká pín àwọn fèrèsé	When to group windows
"Ń sọ ìgbà tí a óò pín àwọn fèrèsé láti inú ìṣàmúlò-ètò kan náà lórí àtòjọ fèrèsé.Àwọn fálù tó lè jẹ́ ni ""rárá"", ""aládàáṣe"" àti ""ìgbà gbogbo""."	"Decides when to group windows from the same application on the window list. Possible values are ""never"", ""auto"" and ""always""."
Gbé àwọn fèrèsé lọ sí ààyè-iṣẹ́ lọ́wọ́lọ́wọ́ tí a kò bá fẹ̀ẹ́lójú mọ́	Move windows to current workspace when unminimized
Tó bá jẹ́ òótọ́, tí o bá ti ń fe ojú fèrèsé gbe lọ sí ààyè-iṣẹ́ lọ́wọ́lọ́wọ́.Láì jẹ́ bẹ́ẹ̀,sún sí ààyè-iṣẹ́ fèrèsé náà.	If true, then when unminimizing a window, move it to the current workspace. Otherwise, switch to the workspace of the window.
Ìwọ̀n àtòjọ fèrèsé tó kéré jù	Minimum window list size
Ìlò bọ́tìnì yìí nínú GNOME 2.6 ti kúrò láṣà.fún 'ìgúnrégé' bọ́tìnì. A tọ́jú ìtọsẹ̀ náà fún ìbámu pẹ̀lú àwọn ẹ̀yà tó ti pẹ́.	The use of this key was deprecated in GNOME 2.20. The schema is retained for compatibility with older versions.
Ìwọ̀n àtòjọ fèrèsé tó ga jù	Maximum window list size
Aṣàyàn Fèrèsé ń fi àtòjọ gbogbo àwọn fèrèsé inú àtòjọ-ẹ̀yàn hàn, yóò sì jẹ́ kí́o wá wọn.	The Window Selector shows a list of all windows in a menu and lets you browse them.
àwọn róòlù	rows
àwọn kọ́lọ̀mù	columns
